,full_address,url,lat,long
37,"3725 PENNINGTON RD Forsyth County, GA","https://www.google.com/maps/search/3725%20PENNINGTON%20RD%20Forsyth%20County,%20GA",34.117542,-84.1536743
38,"3195 STOCK SADDLE PL Forsyth County, GA","https://www.google.com/maps/search/3195%20STOCK%20SADDLE%20PL%20Forsyth%20County,%20GA",34.2996163,-84.2420026
39,"4295 GOLDEN KNOLL RD Forsyth County, GA","https://www.google.com/maps/search/4295%20GOLDEN%20KNOLL%20RD%20Forsyth%20County,%20GA",34.277499,-84.189929
40,"3210 ANDOVER ST Forsyth County, GA","https://www.google.com/maps/search/3210%20ANDOVER%20ST%20Forsyth%20County,%20GA",34.2706857,-84.1850394
41,"3720 ANDOVER ST Forsyth County, GA","https://www.google.com/maps/search/3720%20ANDOVER%20ST%20Forsyth%20County,%20GA",34.2733013,-84.1851516
42,"3720 LAKEHEATH DR Forsyth County, GA","https://www.google.com/maps/search/3720%20LAKEHEATH%20DR%20Forsyth%20County,%20GA",34.0860674,-84.177163
43,"6835 KENMARE WALK Forsyth County, GA","https://www.google.com/maps/search/6835%20KENMARE%20WALK%20Forsyth%20County,%20GA",34.1863758,-84.2369201
425,"1404 LEXINGTON GREEN PNES Forsyth County, GA","https://www.google.com/maps/search/1404%20LEXINGTON%20GREEN%20PNES%20Forsyth%20County,%20GA",34.24908943,-84.09578541
45,"5910 WESTCROFT LN Forsyth County, GA","https://www.google.com/maps/search/5910%20WESTCROFT%20LN%20Forsyth%20County,%20GA",34.1731709,-84.1831368
46,"5110 CHAMPIONS DERBY RUN Forsyth County, GA","https://www.google.com/maps/search/5110%20CHAMPIONS%20DERBY%20RUN%20Forsyth%20County,%20GA",34.193969,-84.2007644
47,"8155 CROOKED CREEK DR Forsyth County, GA","https://www.google.com/maps/search/8155%20CROOKED%20CREEK%20DR%20Forsyth%20County,%20GA",34.331707,-84.2044926
48,"5980 SURREY CT Forsyth County, GA","https://www.google.com/maps/search/5980%20SURREY%20CT%20Forsyth%20County,%20GA",34.253016,-84.2434174
49,"4085 AZURITE ST Forsyth County, GA","https://www.google.com/maps/search/4085%20AZURITE%20ST%20Forsyth%20County,%20GA",34.2143158,-84.2284353
50,"4245 GOLDEN KNOLL RD Forsyth County, GA","https://www.google.com/maps/search/4245%20GOLDEN%20KNOLL%20RD%20Forsyth%20County,%20GA",34.278186,-84.188685
