,Square Ft,year_sale,year_blt,price_sf,Sale Price,GEOID,Sub_geo,unique_ID,year,month,year-month
361,2926,2018,2006,102.1872864,"$299,000 ",13117130609,South Forsyth,1060 ROCKBASS RD-11/20/2018-299000,2018,11,2018-11
362,4638,2021,2020,149.6019836,"$693,854 ",13117130611,South Forsyth,1060 SETTLES CREEK WAY-3/12/2021-693854,2021,3,2021-3
363,3426,2020,2004,164.9153532,"$565,000 ",13117130611,South Forsyth,1060 WATER VIEW LN-2/24/2020-565000,2020,2,2020-2
364,1852,2022,1946,170.1835853,"$315,180 ",13117130604,South Forsyth,1061 OLD ALPHARETTA RD-8/19/2022-315180,2022,8,2022-8
365,2064,2021,2007,155.0387597,"$320,000 ",13117130410,Cumming,1063 FIRETHORNE PASS-9/21/2021-320000,2021,9,2021-9
366,4157,2021,2001,174.4046187,"$725,000 ",13117130511,South Forsyth,1063 WINDERMERE XING-8/2/2021-725000,2021,8,2021-8
367,2145,2022,2005,177.6223776,"$381,000 ",13117130410,Cumming,1064 FIRETHORNE PASS-2/28/2022-381000,2022,2,2022-2
368,2145,2019,2005,108.3916084,"$232,500 ",13117130410,Cumming,1064 FIRETHORNE PASS-6/17/2019-232500,2019,6,2019-6
369,1410,2019,2005,170.212766,"$240,000 ",13117130602,South Forsyth,1064 PRESTWYCK CT-6/17/2019-240000,2019,6,2019-6
370,2330,2022,2007,208.1545064,"$485,000 ",13117130613,West Forsyth,1065 CREEK VISTA DR-1/5/2022-485000,2022,1,2022-1
371,3882,2018,2017,137.815559,"$535,000 ",13117130602,South Forsyth,1065 HARGROVE POINT WAY-3/2/2018-535000,2018,3,2018-3
372,2564,2020,1999,124.8049922,"$320,000 ",13117130611,South Forsyth,1065 JULIUS DR-7/28/2020-320000,2020,7,2020-7
373,2583,2021,2002,196.6705381,"$508,000 ",13117130605,South Forsyth,1065 MOUNTCLAIRE DR-10/15/2021-508000,2021,10,2021-10
374,2583,2019,2002,131.6298877,"$340,000 ",13117130605,South Forsyth,1065 MOUNTCLAIRE DR-9/20/2019-340000,2019,9,2019-9
375,3488,2022,2021,203.6281537,"$710,255 ",13117130602,South Forsyth,1065 POPPY PTE-6/2/2022-710255,2022,6,2022-6
376,3168,2018,2004,123.5795455,"$391,500 ",13117130601,West Forsyth,1065 PRESERVE LN-7/31/2018-391500,2018,7,2018-7
377,4758,2020,2019,168.6633039,"$802,500 ",13117130609,South Forsyth,1065 SOFIA CT-12/28/2020-802500,2020,12,2020-12
378,3143,2018,2004,181.3553929,"$570,000 ",13117130611,South Forsyth,1065 WATER VIEW LN-7/2/2018-570000,2018,7,2018-7
379,3975,2020,2001,171.0691824,"$680,000 ",13117130511,South Forsyth,1066 WINDERMERE XING-2/27/2020-680000,2020,2,2020-2
380,1780,2018,2007,117.9775281,"$210,000 ",13117130410,Cumming,1067 FIRETHORNE PASS-3/20/2018-210000,2018,3,2018-3
381,3924,2019,2003,177.8797146,"$698,000 ",13117130511,South Forsyth,1068 WINDERMERE XING-3/22/2019-698000,2019,3,2019-3
